model,task,context_length,depth_pct,question,expected_answer,model_response,prompt_tokens,completion_tokens,cached_tokens,tokens_used,latency_s,response_chars,question_chars,context_chars,sample_id,experiment,variant,needle_style,domain,difficulty,answer_type,num_needles,distractor_count,target_needle_id,inserted_needles,em_score,contains_score,expected_answer_chars,row_cost_cny,contains_per_1k_output_tokens,contains_per_cny
deepseek,niah,2000,10,公司 2025 年资本开支上限是多少？,18.6亿元,18.6亿元。,1537,5,0,1542,1.22,7,19,1922,v2-niah-2000-10-03-finance_capex_budget,v2,style_aligned,style_aligned,finance,medium,numeric,1,0,finance_capex_budget,"[""根据董事会审议通过的预算方案，公司 2025 年资本开支上限为 18.6 亿元。""]",0,1,6,0.001547,200.0,646.4124111182934
deepseek,niah,2000,10,2025 年一季度综合毛利率是多少？,23.7%,23.7%,1344,4,0,1348,0.83,5,18,1900,v2-niah-2000-10-04-finance_numeric_confusable_margin,v2,numeric_confusable,numeric_confusable,finance,hard,numeric,1,0,finance_numeric_confusable_margin,"[""管理层说明指出，2025 年一季度综合毛利率为 23.7%，营业利润率为 11.4%，其中对外披露口径要求优先引用综合毛利率。""]",1,1,5,0.001352,250.0,739.6449704142012
deepseek,niah,2000,10,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1259,7,0,1266,1.14,10,20,1753,v2-niah-2000-10-05-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2,manufacturing_multi_key_line_switch,"[""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。"", ""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。""]",1,1,10,0.001273,142.85714285714286,785.5459544383347
deepseek,niah,2000,10,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1123,5,0,1128,0.39,5,21,1867,v2-niah-2000-10-06-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",0,1,4,0.001133,200.0,882.6125330979701
deepseek,niah,2000,10,同店销售额同比增长了多少？,8.9%,8.9%,1389,4,0,1393,0.77,4,13,1887,v2-niah-2000-10-07-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",1,1,4,0.001397,250.0,715.8196134574088
deepseek,niah,2000,10,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1417,7,0,1424,0.61,10,20,1757,v2-niah-2000-10-08-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2,manufacturing_multi_key_line_switch,"[""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。"", ""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。""]",1,1,10,0.001431,142.85714285714286,698.8120195667366
deepseek,niah,2000,10,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1244,5,128,1249,0.46,5,21,1901,v2-niah-2000-10-09-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",0,1,4,0.001139,200.0,877.9631255487269
deepseek,niah,2000,25,本季度封装段一次良率目标是多少？,98.2%,98.2%,1370,4,0,1374,1.3,5,16,1920,v2-niah-2000-25-00-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",1,1,5,0.001378,250.0,725.6894049346879
deepseek,niah,2000,25,2025 年一季度综合毛利率是多少？,23.7%,23.7%,1237,4,128,1241,0.67,5,18,1905,v2-niah-2000-25-01-finance_numeric_confusable_margin,v2,numeric_confusable,numeric_confusable,finance,hard,numeric,1,0,finance_numeric_confusable_margin,"[""管理层说明指出，2025 年一季度综合毛利率为 23.7%，营业利润率为 11.4%，其中对外披露口径要求优先引用综合毛利率。""]",1,1,5,0.00113,250.0,884.9557522123895
deepseek,niah,2000,25,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1099,7,0,1106,0.58,10,20,1749,v2-niah-2000-25-02-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。""]",1,1,10,0.001113,142.85714285714286,898.4725965858041
deepseek,niah,2000,25,本季度封装段一次良率目标是多少？,98.2%,98.2%,1274,4,128,1278,1.47,5,16,1886,v2-niah-2000-25-03-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",1,1,5,0.001167,250.0,856.898029134533
deepseek,niah,2000,25,同店销售额同比增长了多少？,8.9%,8.9%,1389,4,0,1393,0.69,4,13,1887,v2-niah-2000-25-04-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",1,1,4,0.001397,250.0,715.8196134574088
deepseek,niah,2000,25,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1297,7,0,1304,0.92,10,20,1761,v2-niah-2000-25-05-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。""]",1,1,10,0.001311,142.85714285714286,762.7765064836002
deepseek,niah,2000,25,本季度封装段一次良率目标是多少？,98.2%,98.2%,1238,4,128,1242,0.73,5,16,1898,v2-niah-2000-25-06-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",1,1,5,0.001131,250.0,884.1732979664014
deepseek,niah,2000,25,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1533,13,0,1546,0.79,17,16,1921,v2-niah-2000-25-07-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",0,1,5,0.001559,76.92307692307693,641.4368184733803
deepseek,niah,2000,25,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1438,7,0,1445,0.76,10,20,1734,v2-niah-2000-25-08-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。""]",1,1,10,0.001452,142.85714285714286,688.7052341597796
deepseek,niah,2000,25,本季度封装段一次良率目标是多少？,98.2%,98.2%,1519,4,0,1523,0.92,5,16,1874,v2-niah-2000-25-09-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",1,1,5,0.001527,250.0,654.8788474132285
deepseek,niah,2000,50,同店销售额同比增长了多少？,8.9%,8.9%,1523,4,0,1527,0.8,4,13,1910,v2-niah-2000-50-00-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",1,1,4,0.001531,250.0,653.1678641410842
deepseek,niah,2000,50,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1099,7,0,1106,0.51,10,20,1749,v2-niah-2000-50-01-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。""]",1,1,10,0.001113,142.85714285714286,898.4725965858041
deepseek,niah,2000,50,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1518,5,128,1523,0.9,5,21,1894,v2-niah-2000-50-02-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",0,1,4,0.001413,200.0,707.7140835102618
deepseek,niah,2000,50,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1528,13,512,1541,1.04,17,16,1909,v2-niah-2000-50-03-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",0,1,5,0.001093,76.92307692307693,914.9130832570905
deepseek,niah,2000,50,董事会最终批准的年度自由现金流目标是多少？,9.4亿元,9.4亿元,1364,4,128,1368,0.46,5,21,1761,v2-niah-2000-50-04-finance_multi_key_fcf,v2,multi_key,multi_key,finance,hard,numeric,3,2,finance_multi_key_fcf,"[""财务部早期草案曾讨论将年度自由现金流目标设为 8.7 亿元，但该方案未获批准。"", ""董事会最终批准的年度自由现金流目标为 9.4 亿元。"", ""上一财年的自由现金流实际完成值为 7.9 亿元。""]",1,1,5,0.001257,250.0,795.5449482895783
deepseek,niah,2000,50,本季度封装段一次良率目标是多少？,98.2%,98.2%。,1050,4,0,1054,0.74,6,16,1919,v2-niah-2000-50-05-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",0,1,5,0.001058,250.0,945.179584120983
deepseek,niah,2000,50,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1528,13,1408,1541,0.65,17,16,1909,v2-niah-2000-50-06-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",0,1,5,0.000287,76.92307692307693,3484.3205574912895
deepseek,niah,2000,50,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1182,7,128,1189,0.63,10,20,1721,v2-niah-2000-50-07-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。""]",1,1,10,0.001081,142.85714285714286,925.0693802035154
deepseek,niah,2000,50,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1505,5,128,1510,0.49,5,21,1917,v2-niah-2000-50-08-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",0,1,4,0.0014,200.0,714.2857142857143
deepseek,niah,2000,50,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1528,13,1408,1541,0.62,17,16,1909,v2-niah-2000-50-09-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",0,1,5,0.000287,76.92307692307693,3484.3205574912895
deepseek,niah,2000,75,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张。,1145,3,384,1148,0.78,4,23,1681,v2-niah-2000-75-00-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2,healthcare_multi_key_bed_plan,"[""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。"", ""院务会最终批准的日间手术中心新增床位数为 42 张。"", ""去年同院区普通病房实际新增床位数为 28 张。""]",0,1,3,0.000805,333.3333333333333,1242.2360248447203
deepseek,niah,2000,75,公司 2025 年资本开支上限是多少？,18.6亿元,18.6亿元。,1517,5,768,1522,1.11,7,19,1899,v2-niah-2000-75-01-finance_capex_budget,v2,style_aligned,style_aligned,finance,medium,numeric,1,0,finance_capex_budget,"[""根据董事会审议通过的预算方案，公司 2025 年资本开支上限为 18.6 亿元。""]",0,1,6,0.000836,200.0,1196.1722488038276
deepseek,niah,2000,75,2025 年一季度综合毛利率是多少？,23.7%,23.7%,1060,4,768,1064,0.63,5,18,1920,v2-niah-2000-75-02-finance_numeric_confusable_margin,v2,numeric_confusable,numeric_confusable,finance,hard,numeric,1,0,finance_numeric_confusable_margin,"[""管理层说明指出，2025 年一季度综合毛利率为 23.7%，营业利润率为 11.4%，其中对外披露口径要求优先引用综合毛利率。""]",1,1,5,0.000377,250.0,2652.5198938992044
deepseek,niah,2000,75,董事会最终批准的年度自由现金流目标是多少？,9.4亿元,9.4亿元,1453,4,128,1457,1.05,5,21,1765,v2-niah-2000-75-03-finance_multi_key_fcf,v2,multi_key,multi_key,finance,hard,numeric,3,2,finance_multi_key_fcf,"[""财务部早期草案曾讨论将年度自由现金流目标设为 8.7 亿元，但该方案未获批准。"", ""董事会最终批准的年度自由现金流目标为 9.4 亿元。"", ""上一财年的自由现金流实际完成值为 7.9 亿元。""]",1,1,5,0.001346,250.0,742.9420505200594
deepseek,niah,2000,75,本季度封装段一次良率目标是多少？,98.2%,98.2%,1274,4,384,1278,1.35,5,16,1886,v2-niah-2000-75-04-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",1,1,5,0.000936,250.0,1068.3760683760684
deepseek,niah,2000,75,区域配送的 SLA 指标是多少？,92.1%,24小时履约率。,1170,5,0,1175,0.65,8,16,1920,v2-niah-2000-75-05-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",0,0,5,0.00118,0.0,0.0
deepseek,niah,2000,75,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张,1374,2,128,1376,0.64,3,23,1721,v2-niah-2000-75-06-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2,healthcare_multi_key_bed_plan,"[""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。"", ""院务会最终批准的日间手术中心新增床位数为 42 张。"", ""去年同院区普通病房实际新增床位数为 28 张。""]",1,1,3,0.001263,500.0,791.7656373713381
deepseek,niah,2000,75,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1538,5,512,1543,0.74,5,21,1919,v2-niah-2000-75-07-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",0,1,4,0.001087,200.0,919.963201471941
deepseek,niah,2000,75,2025 年一季度综合毛利率是多少？,23.7%,23.7%,1521,4,896,1525,0.93,5,18,1910,v2-niah-2000-75-08-finance_numeric_confusable_margin,v2,numeric_confusable,numeric_confusable,finance,hard,numeric,1,0,finance_numeric_confusable_margin,"[""管理层说明指出，2025 年一季度综合毛利率为 23.7%，营业利润率为 11.4%，其中对外披露口径要求优先引用综合毛利率。""]",1,1,5,0.000723,250.0,1383.1258644536654
deepseek,niah,2000,75,董事会最终批准的年度自由现金流目标是多少？,9.4亿元,9.4亿元,1064,4,0,1068,0.94,5,21,1720,v2-niah-2000-75-09-finance_multi_key_fcf,v2,multi_key,multi_key,finance,hard,numeric,3,2,finance_multi_key_fcf,"[""财务部早期草案曾讨论将年度自由现金流目标设为 8.7 亿元，但该方案未获批准。"", ""董事会最终批准的年度自由现金流目标为 9.4 亿元。"", ""上一财年的自由现金流实际完成值为 7.9 亿元。""]",1,1,5,0.001072,250.0,932.8358208955224
deepseek,niah,2000,90,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张,1154,2,384,1156,0.93,3,23,1754,v2-niah-2000-90-00-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2,healthcare_multi_key_bed_plan,"[""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。"", ""去年同院区普通病房实际新增床位数为 28 张。"", ""院务会最终批准的日间手术中心新增床位数为 42 张。""]",1,1,3,0.000812,500.0,1231.527093596059
deepseek,niah,2000,90,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1356,5,768,1361,0.84,5,21,1901,v2-niah-2000-90-01-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",0,1,4,0.000675,200.0,1481.4814814814813
deepseek,niah,2000,90,同店销售额同比增长了多少？,8.9%,8.9%,1239,4,1024,1243,0.55,4,13,1905,v2-niah-2000-90-02-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",1,1,4,0.000325,250.0,3076.923076923077
deepseek,niah,2000,90,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张。,1274,3,128,1277,0.67,4,23,1710,v2-niah-2000-90-03-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2,healthcare_multi_key_bed_plan,"[""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。"", ""去年同院区普通病房实际新增床位数为 28 张。"", ""院务会最终批准的日间手术中心新增床位数为 42 张。""]",0,1,3,0.001165,333.3333333333333,858.3690987124463
deepseek,niah,2000,90,本季度封装段一次良率目标是多少？,98.2%,98.2%,1501,4,1152,1505,0.76,5,16,1914,v2-niah-2000-90-04-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",1,1,5,0.000472,250.0,2118.64406779661
deepseek,niah,2000,90,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1394,13,384,1407,0.74,17,16,1886,v2-niah-2000-90-05-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",0,1,5,0.001074,76.92307692307693,931.0986964618248
deepseek,niah,2000,90,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张,1036,2,384,1038,0.81,3,23,1763,v2-niah-2000-90-06-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2,healthcare_multi_key_bed_plan,"[""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。"", ""去年同院区普通病房实际新增床位数为 28 张。"", ""院务会最终批准的日间手术中心新增床位数为 42 张。""]",1,1,3,0.000694,500.0,1440.922190201729
deepseek,niah,2000,90,本季度封装段一次良率目标是多少？,98.2%,98.2%,1274,4,1024,1278,0.6,5,16,1886,v2-niah-2000-90-07-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",1,1,5,0.00036,250.0,2777.777777777778
